"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"77","Guilherme Biteco","Left Midfield",18,"12/13","Brazil","Grêmio B","Bundesliga","TSG Hoffenheim","1,50 Mill. €",150000,"Yes","No",1e+06,"Yes",NA
"78","Guillermo Burdisso","Centre-Back",21,"10/11","Primera Nacional","CA Rosario","Serie A","AS Roma","Loan fee:500 Th. €",NA,NA,NA,NA,NA,NA
"79","Guillermo Sara","Goalkeeper",25,"13/14","Torneo Final","Rafaela","LaLiga","Real Betis","Loan fee:250 Th. €",NA,NA,NA,NA,NA,NA
"80","Gustavo Cabral","Centre-Back",26,"12/13","Torneo Final","Arsenal FC","LaLiga","Celta de Vigo","Loan fee:500 Th. €",NA,NA,NA,NA,NA,NA
"81","Henrique","Centre-Back",27,"13/14","Série A","Palmeiras","Serie A","SSC Napoli","4,00 Mill. €",2500000,"No","No",5e+06,"Yes",2e+06
"82","Henrique Almeida","Centre-Forward",20,"11/12","Série A","São Paulo","LaLiga","Granada CF","Loan fee:500 Th. €",NA,NA,NA,NA,NA,NA
"83","Henry Giménez","Centre-Forward",24,"10/11","Primera División","River Plate","Serie A","Bologna","2,00 Mill. €",1800000,"No","Yes",NA,"Yes",NA
"84","Henry Giménez","Centre-Forward",23,"09/10","Primera División","River Plate","Serie A","Bologna","Loan fee:100 Th. €",1800000,"No","Yes",NA,"Yes",NA
"85","Hernán Bernardello","Defensive Midfield",22,"09/10","Torneo Final","Newell's","LaLiga","UD Almería","3,00 Mill. €",2500000,"Yes","No",4500000,"Yes",NA
"86","Hernanes","Attacking Midfield",25,"10/11","Série A","São Paulo","Serie A","Lazio","13,50 Mill. €",9e+06,"Yes","No",2.5e+07,"Yes",1.8e+07
